Name,Red (8 bit),Green (8 bit),Blue (8 bit),percol,sub_percol,color
#E0DFD1,224,223,209,spring,,gainsboro
#ACAFAE,172,175,174,spring,,darkgray
#B9B4AD,185,180,173,spring,,darkgray
#E5DFB0,229,223,176,spring,,palegoldenrod
#F3D372,243,211,114,spring,,khaki
#ECADAE,236,173,174,spring,,lightpink
#EAA7BD,234,167,189,spring,,lightpink
#E9DDC7,233,221,199,spring,,bisque
#E8C9B9,232,201,185,spring,,wheat
#CAC5B8,202,197,184,spring,,silver
#B4B6B3,180,182,179,spring,,darkgray
#F1E086,241,224,134,spring,,khaki
#EABE9D,234,190,157,spring,,burlywood
#F5C679,245,198,121,spring,,burlywood
#F2E1C7,242,225,199,spring,,bisque
#C2C4BA,194,196,186,spring,,silver
#D5CA97,213,202,151,spring,,tan
#ECBD9C,236,189,156,spring,,burlywood
#E9CB96,233,203,150,spring,,burlywood
#CBDA80,203,218,128,spring,,burlywood
#8CD581,140,213,129,spring,,darkseagreen
#11124E,17,18,78,spring,,midnightblue
#030473,3,4,115,spring,,navy
#3721BE,55,33,190,spring,,darkslateblue
#3939DE,57,57,222,spring,,royalblue
#8977E1,137,119,225,spring,,mediumpurple
#4C8C7F,76,140,127,spring,,slategray
#5085A2,80,133,162,spring,,steelblue
#6DBAA0,109,186,160,spring,,mediumaquamarine
#D2EBFD,210,235,253,spring,,lavender
#F5FEFF,245,254,255,spring,,mintcream
#E1DBCD,225,219,205,spring,,gainsboro
#989F9B,152,159,155,spring,,darkgray
#685F57,104,95,87,spring,,dimgray
#F4CDC1,244,205,193,spring,,peachpuff
#F3C777,243,199,119,spring,,burlywood
#EE9287,238,146,135,spring,,darksalmon
#E98BA5,233,139,165,spring,,palevioletred
#E1D5C7,225,213,199,spring,,lightgray
#ECB59F,236,181,159,spring,,burlywood
#B5B1A6,181,177,166,spring,,darkgray
#7C7C7A,124,124,122,spring,,gray
#F2D689,242,214,137,spring,,khaki
#EDA277,237,162,119,spring,,darksalmon
#E9A29F,233,162,159,spring,,burlywood
#E8D2BF,232,210,191,spring,,wheat
#AEAD9D,174,173,157,spring,,darkgray
#C3AD89,195,173,137,spring,,tan
#D09A78,208,154,120,spring,,darksalmon
#EED58F,238,213,143,spring,,khaki
#B3C45B,179,196,91,spring,,darkkhaki
#78C765,120,199,101,spring,,darkseagreen
