Name,Red (8 bit),Green (8 bit),Blue (8 bit),percol,sub_percol,color
#E0DFD1,224,223,209,spring,,white
#ACAFAE,172,175,174,spring,,gray
#B9B4AD,185,180,173,spring,,gray
#E5DFB0,229,223,176,spring,,white
#F3D372,243,211,114,spring,,yellow
#ECADAE,236,173,174,spring,,pink
#EAA7BD,234,167,189,spring,,pink
#E9DDC7,233,221,199,spring,,white
#E8C9B9,232,201,185,spring,,white
#CAC5B8,202,197,184,spring,,white
#B4B6B3,180,182,179,spring,,gray
#F1E086,241,224,134,spring,,white
#EABE9D,234,190,157,spring,,pink
#F5C679,245,198,121,spring,,pink
#F2E1C7,242,225,199,spring,,white
#C2C4BA,194,196,186,spring,,white
#D5CA97,213,202,151,spring,,pink
#ECBD9C,236,189,156,spring,,pink
#E9CB96,233,203,150,spring,,pink
#CBDA80,203,218,128,spring,,gray
#8CD581,140,213,129,spring,,gray
#11124E,17,18,78,spring,,navy
#030473,3,4,115,spring,,navy
#3721BE,55,33,190,spring,,navy
#3939DE,57,57,222,spring,,blue
#8977E1,137,119,225,spring,,gray
#4C8C7F,76,140,127,spring,,gray
#5085A2,80,133,162,spring,,gray
#6DBAA0,109,186,160,spring,,gray
#D2EBFD,210,235,253,spring,,white
#F5FEFF,245,254,255,spring,,white
#E1DBCD,225,219,205,spring,,white
#989F9B,152,159,155,spring,,gray
#685F57,104,95,87,spring,,gray
#F4CDC1,244,205,193,spring,,white
#F3C777,243,199,119,spring,,pink
#EE9287,238,146,135,spring,,pink
#E98BA5,233,139,165,spring,,pink
#E1D5C7,225,213,199,spring,,white
#ECB59F,236,181,159,spring,,pink
#B5B1A6,181,177,166,spring,,gray
#7C7C7A,124,124,122,spring,,gray
#F2D689,242,214,137,spring,,pink
#EDA277,237,162,119,spring,,pink
#E9A29F,233,162,159,spring,,pink
#E8D2BF,232,210,191,spring,,white
#AEAD9D,174,173,157,spring,,gray
#C3AD89,195,173,137,spring,,gray
#D09A78,208,154,120,spring,,gray
#EED58F,238,213,143,spring,,pink
#B3C45B,179,196,91,spring,,gray
#78C765,120,199,101,spring,,gray
#B92635,185,38,53,spring,,brown
#BF284B,191,40,75,spring,,brown
#C0385D,192,56,93,spring,,brown
#BE385D,190,56,93,spring,,brown
#BC3C5A,188,60,90,spring,,brown
#DD449A,221,68,154,spring,,pink
#E4697D,228,105,125,spring,,pink
#DE889B,222,136,155,spring,,pink
#E5A799,229,167,153,spring,,pink
#DEACB3,222,172,179,spring,,pink
#E4DABF,228,218,191,spring,,white
#5A5F5D,90,95,93,spring,,gray
#312C2C,49,44,44,spring,,black
#B0E2D8,176,226,216,spring,,white
#E3AE57,227,174,87,spring,,orange
#DD5F5E,221,95,94,spring,,brown
#CC536B,204,83,107,spring,,brown
#EAD9BD,234,217,189,spring,,white
#CFCAAC,207,202,172,spring,,pink
#7D7B73,125,123,115,spring,,gray
#636866,99,104,102,spring,,gray
#ECCB78,236,203,120,spring,,pink
#EA9A85,234,154,133,spring,,pink
#E58885,229,136,133,spring,,pink
#F4D7AC,244,215,172,spring,,white
#989688,152,150,136,spring,,gray
#B19469,177,148,105,spring,,gray
#854B39,133,75,57,spring,,brown
#EECE7F,238,206,127,spring,,pink
#8F9C46,143,156,70,spring,,gray
#4A9643,74,150,67,spring,,gray
#60BD38,96,189,56,spring,,gray
#84D845,132,216,69,spring,,gray
#B2C064,178,192,100,spring,,gray
#A1AE60,161,174,96,spring,,gray
#AFA551,175,165,81,spring,,gray
#DDBF61,221,191,97,spring,,orange
